symbol,name,baseAsset,quoteAsset,sector,industry,exchange,priceStep,quantityStep,minQuantity
AAPL,Apple Inc.,AAPL,USD,Technology,Consumer Electronics,NMS,0.01,1.0,1.0
MSFT,Microsoft Corporation,MSFT,USD,Technology,Software - Infrastructure,NMS,0.01,1.0,1.0
AMZN,"Amazon.com, Inc.",AMZN,USD,Consumer Cyclical,Internet Retail,NMS,0.01,1.0,1.0
GOOGL,Alphabet Inc.,GOOGL,USD,Communication Services,Internet Content & Information,NMS,0.01,1.0,1.0
META,"Meta Platforms, Inc.",META,USD,Communication Services,Internet Content & Information,NMS,0.01,1.0,1.0
NVDA,NVIDIA Corporation,NVDA,USD,Technology,Semiconductors,NMS,0.01,1.0,1.0
TSLA,"Tesla, Inc.",TSLA,USD,Consumer Cyclical,Auto Manufacturers,NMS,0.01,1.0,1.0
BRK-B,Berkshire Hathaway Inc. New,BRK-B,USD,Financial Services,Insurance - Diversified,NYQ,0.01,1.0,1.0
JPM,JP Morgan Chase & Co.,JPM,USD,Financial Services,Banks - Diversified,NYQ,0.01,1.0,1.0
V,Visa Inc.,V,USD,Financial Services,Credit Services,NYQ,0.01,1.0,1.0
MA,Mastercard Incorporated,MA,USD,Financial Services,Credit Services,NYQ,0.01,1.0,1.0
UNH,UnitedHealth Group Incorporated,UNH,USD,Healthcare,Healthcare Plans,NYQ,0.01,1.0,1.0
JNJ,Johnson & Johnson,JNJ,USD,Healthcare,Drug Manufacturers - General,NYQ,0.01,1.0,1.0
PG,Procter & Gamble Company (The),PG,USD,Consumer Defensive,Household & Personal Products,NYQ,0.01,1.0,1.0
KO,Coca-Cola Company (The),KO,USD,Consumer Defensive,Beverages - Non-Alcoholic,NYQ,0.01,1.0,1.0
PEP,"Pepsico, Inc.",PEP,USD,Consumer Defensive,Beverages - Non-Alcoholic,NMS,0.01,1.0,1.0
XOM,Exxon Mobil Corporation,XOM,USD,Energy,Oil & Gas Integrated,NYQ,0.01,1.0,1.0
CVX,Chevron Corporation,CVX,USD,Energy,Oil & Gas Integrated,NYQ,0.01,1.0,1.0
WMT,Walmart Inc.,WMT,USD,Consumer Defensive,Discount Stores,NMS,0.01,1.0,1.0
HD,"Home Depot, Inc. (The)",HD,USD,Consumer Cyclical,Home Improvement Retail,NYQ,0.01,1.0,1.0
BAC,Bank of America Corporation,BAC,USD,Financial Services,Banks - Diversified,NYQ,0.01,1.0,1.0
DIS,Walt Disney Company (The),DIS,USD,Communication Services,Entertainment,NYQ,0.01,1.0,1.0
NFLX,"Netflix, Inc.",NFLX,USD,Communication Services,Entertainment,NMS,0.01,1.0,1.0
AMD,"Advanced Micro Devices, Inc.",AMD,USD,Technology,Semiconductors,NMS,0.01,1.0,1.0
INTC,Intel Corporation,INTC,USD,Technology,Semiconductors,NMS,0.01,1.0,1.0
ORCL,Oracle Corporation,ORCL,USD,Technology,Software - Infrastructure,NYQ,0.01,1.0,1.0
ADBE,Adobe Inc.,ADBE,USD,Technology,Software - Application,NMS,0.01,1.0,1.0
CSCO,"Cisco Systems, Inc.",CSCO,USD,Technology,Communication Equipment,NMS,0.01,1.0,1.0
CRM,"Salesforce, Inc.",CRM,USD,Technology,Software - Application,NYQ,0.01,1.0,1.0
TSM,Taiwan Semiconductor Manufactur,TSM,USD,Technology,Semiconductors,NYQ,0.01,1.0,1.0
AVGO,Broadcom Inc.,AVGO,USD,Technology,Semiconductors,NMS,0.01,1.0,1.0
QCOM,QUALCOMM Incorporated,QCOM,USD,Technology,Semiconductors,NMS,0.01,1.0,1.0
TXN,Texas Instruments Incorporated,TXN,USD,Technology,Semiconductors,NMS,0.01,1.0,1.0
IBM,International Business Machines,IBM,USD,Technology,Information Technology Services,NYQ,0.01,1.0,1.0
INTU,Intuit Inc.,INTU,USD,Technology,Software - Application,NMS,0.01,1.0,1.0
NOW,"ServiceNow, Inc.",NOW,USD,Technology,Software - Application,NYQ,0.01,1.0,1.0
SHOP,Shopify Inc.,SHOP,USD,Technology,Software - Application,NMS,0.01,1.0,1.0
UBER,"Uber Technologies, Inc.",UBER,USD,Technology,Software - Application,NYQ,0.01,1.0,1.0
ABNB,"Airbnb, Inc.",ABNB,USD,Consumer Cyclical,Travel Services,NMS,0.01,1.0,1.0
PYPL,"PayPal Holdings, Inc.",PYPL,USD,Financial Services,Credit Services,NMS,0.01,1.0,1.0
SNOW,Snowflake Inc.,SNOW,USD,Technology,Software - Application,NYQ,0.01,1.0,1.0
PLTR,Palantir Technologies Inc.,PLTR,USD,Technology,Software - Infrastructure,NMS,0.01,1.0,1.0
NET,"Cloudflare, Inc.",NET,USD,Technology,Software - Infrastructure,NYQ,0.01,1.0,1.0
PANW,"Palo Alto Networks, Inc.",PANW,USD,Technology,Software - Infrastructure,NMS,0.01,1.0,1.0
CRWD,"CrowdStrike Holdings, Inc.",CRWD,USD,Technology,Software - Infrastructure,NMS,0.01,1.0,1.0
ZS,"Zscaler, Inc.",ZS,USD,Technology,Software - Infrastructure,NMS,0.01,1.0,1.0
DDOG,"Datadog, Inc.",DDOG,USD,Technology,Software - Application,NMS,0.01,1.0,1.0
MDB,"MongoDB, Inc.",MDB,USD,Technology,Software - Infrastructure,NGM,0.01,1.0,1.0
DOCU,"DocuSign, Inc.",DOCU,USD,Technology,Software - Application,NMS,0.01,1.0,1.0
LLY,Eli Lilly and Company,LLY,USD,Healthcare,Drug Manufacturers - General,NYQ,0.01,1.0,1.0
PFE,"Pfizer, Inc.",PFE,USD,Healthcare,Drug Manufacturers - General,NYQ,0.01,1.0,1.0
MRK,"Merck & Company, Inc.",MRK,USD,Healthcare,Drug Manufacturers - General,NYQ,0.01,1.0,1.0
ABBV,AbbVie Inc.,ABBV,USD,Healthcare,Drug Manufacturers - General,NYQ,0.01,1.0,1.0
TMO,Thermo Fisher Scientific Inc,TMO,USD,Healthcare,Diagnostics & Research,NYQ,0.01,1.0,1.0
DHR,Danaher Corporation,DHR,USD,Healthcare,Diagnostics & Research,NYQ,0.01,1.0,1.0
ABT,Abbott Laboratories,ABT,USD,Healthcare,Medical Devices,NYQ,0.01,1.0,1.0
MDT,Medtronic plc.,MDT,USD,Healthcare,Medical Devices,NYQ,0.01,1.0,1.0
BMY,Bristol-Myers Squibb Company,BMY,USD,Healthcare,Drug Manufacturers - General,NYQ,0.01,1.0,1.0
AMGN,Amgen Inc.,AMGN,USD,Healthcare,Drug Manufacturers - General,NMS,0.01,1.0,1.0
COST,Costco Wholesale Corporation,COST,USD,Consumer Defensive,Discount Stores,NMS,0.01,1.0,1.0
NKE,"Nike, Inc.",NKE,USD,Consumer Cyclical,Footwear & Accessories,NYQ,0.01,1.0,1.0
MCD,McDonald's Corporation,MCD,USD,Consumer Cyclical,Restaurants,NYQ,0.01,1.0,1.0
SBUX,Starbucks Corporation,SBUX,USD,Consumer Cyclical,Restaurants,NMS,0.01,1.0,1.0
LOW,"Lowe's Companies, Inc.",LOW,USD,Consumer Cyclical,Home Improvement Retail,NYQ,0.01,1.0,1.0
TGT,Target Corporation,TGT,USD,Consumer Defensive,Discount Stores,NYQ,0.01,1.0,1.0
BKNG,Booking Holdings Inc. Common St,BKNG,USD,Consumer Cyclical,Travel Services,NMS,0.01,1.0,1.0
GM,General Motors Company,GM,USD,Consumer Cyclical,Auto Manufacturers,NYQ,0.01,1.0,1.0
F,Ford Motor Company,F,USD,Consumer Cyclical,Auto Manufacturers,NYQ,0.01,1.0,1.0
CAT,"Caterpillar, Inc.",CAT,USD,Industrials,Farm & Heavy Construction Machinery,NYQ,0.01,1.0,1.0
BA,Boeing Company (The),BA,USD,Industrials,Aerospace & Defense,NYQ,0.01,1.0,1.0
GE,GE Aerospace,GE,USD,Industrials,Aerospace & Defense,NYQ,0.01,1.0,1.0
RTX,RTX Corporation,RTX,USD,Industrials,Aerospace & Defense,NYQ,0.01,1.0,1.0
LMT,Lockheed Martin Corporation,LMT,USD,Industrials,Aerospace & Defense,NYQ,0.01,1.0,1.0
HON,Honeywell International Inc.,HON,USD,Industrials,Conglomerates,NMS,0.01,1.0,1.0
DE,Deere & Company,DE,USD,Industrials,Farm & Heavy Construction Machinery,NYQ,0.01,1.0,1.0
UPS,"United Parcel Service, Inc.",UPS,USD,Industrials,Integrated Freight & Logistics,NYQ,0.01,1.0,1.0
FDX,FedEx Corporation,FDX,USD,Industrials,Integrated Freight & Logistics,NYQ,0.01,1.0,1.0
UNP,Union Pacific Corporation,UNP,USD,Industrials,Railroads,NYQ,0.01,1.0,1.0
NSC,Norfolk Southern Corporation,NSC,USD,Industrials,Railroads,NYQ,0.01,1.0,1.0
SPGI,S&P Global Inc.,SPGI,USD,Financial Services,Financial Data & Stock Exchanges,NYQ,0.01,1.0,1.0
MS,Morgan Stanley,MS,USD,Financial Services,Capital Markets,NYQ,0.01,1.0,1.0
GS,"Goldman Sachs Group, Inc. (The)",GS,USD,Financial Services,Capital Markets,NYQ,0.01,1.0,1.0
C,"Citigroup, Inc.",C,USD,Financial Services,Banks - Diversified,NYQ,0.01,1.0,1.0
BLK,"BlackRock, Inc.",BLK,USD,Financial Services,Asset Management,NYQ,0.01,1.0,1.0
SCHW,Charles Schwab Corporation (The,SCHW,USD,Financial Services,Capital Markets,NYQ,0.01,1.0,1.0
AXP,American Express Company,AXP,USD,Financial Services,Credit Services,NYQ,0.01,1.0,1.0
CB,Chubb Limited,CB,USD,Financial Services,Insurance - Property & Casualty,NYQ,0.01,1.0,1.0
MMC,"Marsh & McLennan Companies, Inc",MMC,USD,Financial Services,Insurance Brokers,NYQ,0.01,1.0,1.0
AIG,"American International Group, I",AIG,USD,Financial Services,Insurance - Diversified,NYQ,0.01,1.0,1.0
LIN,Linde plc,LIN,USD,Basic Materials,Specialty Chemicals,NMS,0.01,1.0,1.0
APD,"Air Products and Chemicals, Inc",APD,USD,Basic Materials,Specialty Chemicals,NYQ,0.01,1.0,1.0
ECL,Ecolab Inc.,ECL,USD,Basic Materials,Specialty Chemicals,NYQ,0.01,1.0,1.0
FCX,"Freeport-McMoRan, Inc.",FCX,USD,Basic Materials,Copper,NYQ,0.01,1.0,1.0
NEM,Newmont Corporation,NEM,USD,Basic Materials,Gold,NYQ,0.01,1.0,1.0
RIO,Rio Tinto Plc,RIO,USD,Basic Materials,Other Industrial Metals & Mining,NYQ,0.01,1.0,1.0
BHP,BHP Group Limited,BHP,USD,Basic Materials,Other Industrial Metals & Mining,NYQ,0.01,1.0,1.0
BP,BP p.l.c.,BP,USD,Energy,Oil & Gas Integrated,NYQ,0.01,1.0,1.0
SHEL,Shell PLC,SHEL,USD,Energy,Oil & Gas Integrated,NYQ,0.01,1.0,1.0
COP,ConocoPhillips,COP,USD,Energy,Oil & Gas E&P,NYQ,0.01,1.0,1.0
GOOG,Alphabet Inc.,GOOG,USD,Communication Services,Internet Content & Information,NMS,0.01,1.0,1.0
AMAT,"Applied Materials, Inc.",AMAT,USD,Technology,Semiconductor Equipment & Materials,NMS,0.01,1.0,1.0
LRCX,Lam Research Corporation,LRCX,USD,Technology,Semiconductor Equipment & Materials,NMS,0.01,1.0,1.0
KLAC,KLA Corporation,KLAC,USD,Technology,Semiconductor Equipment & Materials,NMS,0.01,1.0,1.0
MU,"Micron Technology, Inc.",MU,USD,Technology,Semiconductors,NMS,0.01,1.0,1.0
ADI,"Analog Devices, Inc.",ADI,USD,Technology,Semiconductors,NMS,0.01,1.0,1.0
NXPI,NXP Semiconductors N.V.,NXPI,USD,Technology,Semiconductors,NMS,0.01,1.0,1.0
ON,ON Semiconductor Corporation,ON,USD,Technology,Semiconductors,NMS,0.01,1.0,1.0
INTU,Intuit Inc.,INTU,USD,Technology,Software - Application,NMS,0.01,1.0,1.0
ACN,Accenture plc,ACN,USD,Technology,Information Technology Services,NYQ,0.01,1.0,1.0
SAP,SAP  SE,SAP,USD,Technology,Software - Application,NYQ,0.01,1.0,1.0
ADP,"Automatic Data Processing, Inc.",ADP,USD,Technology,Software - Application,NMS,0.01,1.0,1.0
DELL,Dell Technologies Inc.,DELL,USD,Technology,Computer Hardware,NYQ,0.01,1.0,1.0
HPQ,HP Inc.,HPQ,USD,Technology,Computer Hardware,NYQ,0.01,1.0,1.0
DECK,Deckers Outdoor Corporation,DECK,USD,Consumer Cyclical,Footwear & Accessories,NYQ,0.01,1.0,1.0
ANET,"Arista Networks, Inc.",ANET,USD,Technology,Computer Hardware,NYQ,0.01,1.0,1.0
SMCI,"Super Micro Computer, Inc.",SMCI,USD,Technology,Computer Hardware,NMS,0.01,1.0,1.0
